Entry Date,Exit Date,Direction,Entry Price,Exit Price,Return,Duration,window,num_std,Sharpe,Max Drawdown,Final Return,Win Rate
2006-04-04,2006-04-07,Short,1.2258,1.2101,0.012807962147169234,3,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2006-04-18,2006-05-17,Short,1.2361,1.2725,-0.029447455707467023,29,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2006-06-02,2006-06-06,Short,1.2921,1.2817,0.00804891262286198,4,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2006-06-08,2006-06-21,Long,1.265,1.2664,0.0011067193675889865,13,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2006-06-23,2006-06-29,Long,1.2509,1.2667,0.012630905747861569,6,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2006-06-30,2006-07-12,Short,1.2789,1.27,0.0069591054812728976,12,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2006-07-13,2006-07-21,Long,1.2692,1.2695,0.00023636936653007165,8,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2006-07-28,2006-08-10,Short,1.2747,1.2793,-0.0036086922413118066,13,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2006-08-11,2006-08-16,Long,1.2721,1.2839,0.009276000314440714,5,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2006-08-21,2006-08-22,Short,1.2886,1.2805,0.00628589166537327,1,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2006-09-04,2006-09-06,Short,1.286,1.2804,0.004354587869362402,2,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2006-09-07,2006-09-21,Long,1.2733,1.2781,0.0037697321919421306,14,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2006-09-22,2006-09-26,Short,1.2783,1.2683,0.00782288977548307,4,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2006-10-06,2006-10-19,Long,1.2599,1.2623,0.0019049130883403108,13,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2006-10-20,2006-10-23,Short,1.2615,1.255,0.005152596115735372,3,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2006-10-26,2006-12-08,Short,1.2688,1.3201,-0.04043190416141246,43,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2006-12-14,2006-12-28,Long,1.3144,1.3147,0.00022824102251975574,14,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2007-01-02,2007-01-04,Short,1.3274,1.3083,0.014389031188790037,2,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2007-01-05,2007-01-18,Long,1.3003,1.2963,-0.003076213181573486,13,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2007-01-23,2007-01-25,Short,1.3026,1.2931,0.007293106095501354,2,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2007-01-31,2007-02-02,Short,1.3033,1.2961,0.0055244379651652525,2,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2007-02-14,2007-03-05,Short,1.3129,1.3088,0.003122857795719394,19,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2007-03-14,2007-03-28,Short,1.3224,1.3313,-0.006730187537809973,14,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2007-04-05,2007-04-09,Short,1.3429,1.3353,0.005659393849132513,4,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2007-04-10,2007-05-01,Short,1.3439,1.3604,-0.012277699233573896,21,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2007-05-03,2007-05-15,Long,1.355,1.359,0.0029520295202952055,12,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2007-05-21,2007-06-01,Long,1.3468,1.3448,-0.0014850014850014864,11,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2007-06-04,2007-06-07,Short,1.3489,1.3433,0.004151530877010934,3,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2007-06-08,2007-06-18,Long,1.3372,1.3415,0.0032156745438228916,10,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2007-06-22,2007-07-25,Short,1.347,1.3721,-0.018634001484781088,33,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2007-07-27,2007-08-03,Long,1.3633,1.3773,0.010269199735934873,7,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2007-08-13,2007-08-22,Long,1.3612,1.3543,-0.0050690567146634636,9,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2007-08-24,2007-09-04,Short,1.3674,1.3604,0.005119204329384157,11,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2007-09-06,2007-10-03,Short,1.369,1.4091,-0.02929145361577796,27,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2007-10-08,2007-10-11,Long,1.4056,1.4201,0.010315879339783693,3,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2007-10-15,2007-10-22,Short,1.4212,1.4175,0.0026034337179848275,7,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2007-10-25,2007-11-12,Short,1.4331,1.4531,-0.013955760240039089,18,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2007-11-20,2007-11-29,Short,1.4836,1.4743,0.006268535993529311,9,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2007-11-30,2007-12-10,Long,1.4632,1.4711,0.0053991252050300835,10,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2007-12-14,2007-12-26,Long,1.4429,1.4488,0.0040889874558181554,12,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2007-12-27,2008-01-09,Short,1.4624,1.4657,-0.0022565645514223747,13,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2008-01-10,2008-01-16,Short,1.4804,1.465,0.01040259389354219,6,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2008-01-21,2008-01-24,Long,1.4452,1.4756,0.021035150844173803,3,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2008-01-30,2008-02-05,Short,1.486,1.4644,0.014535666218035035,6,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2008-02-06,2008-02-14,Long,1.463,1.4636,0.0004101161995898386,8,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2008-02-19,2008-03-20,Short,1.4727,1.543,-0.04773545189108443,30,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2008-03-26,2008-04-01,Short,1.5845,1.5619,0.014263174502997761,6,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2008-04-09,2008-04-24,Short,1.5835,1.5678,0.00991474581622976,15,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2008-04-25,2008-05-12,Long,1.5629,1.5541,-0.005630558577004235,17,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2008-05-16,2008-05-29,Short,1.5576,1.5511,0.004173086800205555,13,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
